"","nct_id","x"
"1","NCT00000105","Biological"
"2","NCT00000113","Other"
"3","NCT00000134","Drug"
"4","NCT00000135","Drug"
"5","NCT00000136","Drug"
"6","NCT00000142","Drug"
"7","NCT00000143","Device"
"8","NCT00000145","Dietary Supplement"
"9","NCT00000167","Procedure"
"10","NCT00000170","Drug"
"11","NCT00000177","Drug"
"12","NCT00000187","Drug"
"13","NCT00000188","Drug"
"14","NCT00000189","Drug"
"15","NCT00000190","Procedure"
"16","NCT00000191","Drug"
"17","NCT00000197","Drug"
"18","NCT00000198","Drug"
"19","NCT00000200","Drug"
"20","NCT00000202","Drug"
"21","NCT00000203","Drug"
"22","NCT00000204","Drug"
"23","NCT00000205","Drug"
"24","NCT00000206","Drug"
"25","NCT00000207","Drug"
"26","NCT00000208","Drug"
"27","NCT00000209","Drug"
"28","NCT00000210","Drug"
"29","NCT00000211","Drug"
"30","NCT00000212","Drug"
"31","NCT00000213","Drug"
"32","NCT00000214","Drug"
"33","NCT00000219","Drug"
"34","NCT00000220","Drug"
"35","NCT00000221","Drug"
"36","NCT00000222","Drug"
"37","NCT00000223","Drug"
"38","NCT00000224","Drug"
"39","NCT00000225","Drug"
"40","NCT00000226","Drug"
"41","NCT00000227","Drug"
"42","NCT00000228","Drug"
"43","NCT00000229","Drug"
"44","NCT00000230","Drug"
"45","NCT00000231","Drug"
"46","NCT00000232","Drug"
"47","NCT00000233","Drug"
"48","NCT00000237","Drug"
"49","NCT00000238","Drug"
"50","NCT00000240","Drug"
"51","NCT00000241","Drug"
"52","NCT00000242","Drug"
"53","NCT00000243","Drug"
"54","NCT00000244","Drug"
"55","NCT00000245","Drug"
"56","NCT00000246","Drug"
"57","NCT00000248","Drug"
"58","NCT00000249","Drug"
"59","NCT00000250","Drug"
"60","NCT00000251","Drug"
"61","NCT00000252","Drug"
"62","NCT00000253","Drug"
"63","NCT00000254","Drug"
"64","NCT00000255","Drug"
"65","NCT00000256","Drug"
"66","NCT00000257","Drug"
"67","NCT00000258","Drug"
"68","NCT00000259","Drug"
"69","NCT00000260","Drug"
"70","NCT00000261","Drug"
"71","NCT00000262","Drug"
"72","NCT00000263","Drug"
"73","NCT00000264","Drug"
"74","NCT00000266","Drug"
"75","NCT00000268","Drug"
"76","NCT00000269","Drug"
"77","NCT00000271","Drug"
"78","NCT00000273","Drug"
"79","NCT00000274","Drug"
"80","NCT00000275","Drug"
"81","NCT00000276","Drug"
"82","NCT00000277","Drug"
"83","NCT00000278","Drug"
"84","NCT00000279","Drug"
"85","NCT00000280","Drug"
"86","NCT00000281","Behavioral"
"87","NCT00000282","Drug"
"88","NCT00000284","Drug"
"89","NCT00000285","Drug"
"90","NCT00000286","Drug"
"91","NCT00000288","Drug"
"92","NCT00000289","Drug"
"93","NCT00000290","Drug"
"94","NCT00000291","Drug"
"95","NCT00000292","Procedure"
