"","topic","term","beta"
"1","BrainScan/Drug","blood",0.032292527579904
"2","BrainScan/Drug","participants",0.0157824910478427
"3","BrainScan/Drug","brain",0.0103946983882283
"4","BrainScan/Drug","imaging",0.00770347097101574
"5","BrainScan/Drug","drug",0.00770172968023547
"6","Care","care",0.0164842352972479
"7","Care","intervention",0.014534623674599
"8","Care","health",0.013188748289458
"9","Care","based",0.00825985911844769
"10","Care","program",0.00649206565678974
"11","TrialExecution","placebo",0.0268835626224677
"12","TrialExecution","mg",0.0170886446668456
"13","TrialExecution","efficacy",0.0153959589584155
"14","TrialExecution","double",0.0143548053964198
"15","TrialExecution","safety",0.0141587194870868
"16","Cancer","cancer",0.0498448187120473
"17","Cancer","cells",0.0377994543919534
"18","Cancer","tumor",0.0241623210782373
"19","Cancer","chemotherapy",0.0204136002894909
"20","Cancer","cell",0.0195614183993124
"21","BloodDieseasStudy","disease",0.0133697062852179
"22","BloodDieseasStudy","risk",0.00987045870989257
"23","BloodDieseasStudy","blood",0.0086294802745941
"24","BloodDieseasStudy","investigators",0.00792074434155107
"25","BloodDieseasStudy","function",0.00756881279059376
"26","QulaityofLife","pain",0.0146950174200949
"27","QulaityofLife","exercise",0.0108377112024638
"28","QulaityofLife","quality",0.00905172929450374
"29","QulaityofLife","life",0.00874897781666083
"30","QulaityofLife","training",0.00837135304419225
"31","Surgery","surgery",0.0177395562529419
"32","Surgery","pain",0.0118585469211797
"33","Surgery","surgical",0.00720973878989227
"34","Surgery","postoperative",0.00587551868073868
"35","Surgery","compare",0.00548778125761395
"36","DrugDosage","safety",0.0334536779420326
"37","DrugDosage","dose",0.0318683683504657
"38","DrugDosage","subjects",0.0223822426820571
"39","DrugDosage","efficacy",0.0169806479927416
"40","DrugDosage","evaluate",0.0165423883061596
"41","Diabetes","diabetes",0.0209561386523518
"42","Diabetes","insulin",0.016517433396324
"43","Diabetes","type",0.0142466922510146
"44","Diabetes","glucose",0.0128670743731454
"45","Diabetes","vitamin",0.00982287401064088
"46","BabyVaccine","vaccine",0.015834838904468
"47","BabyVaccine","children",0.0116231296664956
"48","BabyVaccine","infection",0.00894380614034584
"49","BabyVaccine","infants",0.00722278799760025
"50","BabyVaccine","immune",0.00648207436379793
